tweetId|text|dayOfTweet|hashtag|language|compound|translated
27914535861|Peter verspricht bis zum nächsten Jahr ins Shirt zu passen|2010-10-20|#tedxzh|de|0.6249|yes
27915043703|Good point, weird speech. Robin Cornelius somehow reminds me of Steve Balmer:|2010-10-20|#tedxzh|en|0.296|yes
27915070820|Robin Cornelius, CEO of Switcher, demands complete production track record of every good: respect-code.org|2010-10-20|#tedxzh|en|0.4404|yes
27925455103|Der Luzerner Philippe Bischof ist der neue Leiter der Abteilung Kultur im Präsidialdepartement von Basel-Stadt|2010-10-20|#fb|de|0.0|yes
27925457345|Der Luzerner Philippe Bischof ist der neue Leiter der Abteilung Kultur im Präsidialdepartement von Basel-Stadt|2010-10-20|#fb|de|0.0|yes
27925570888|Erster Applaus während eines Talk! Großartig Corsin und Lukas|2010-10-20|#tedxzh|de|0.8016|yes
27927394519|systematic spring-cleaning should be implemented in politics as well ;-)|2010-10-20|#tedxzh|en|0.4767|yes
27928606242|Listening to those you do expect nothing. Man kann z.B. bei Usability Tests zuschauen.|2010-10-20|#tedxzh|en|0.0|yes
27929197398|"Reto Ringger at ""Average holding period of a stock at NYSE in 1950s: 6 years. Today: 11 months. We need to invest more long-term."""|2010-10-20|#tedxzh|en|0.0|yes
27929847260|Sustainability pays out: Dow Jones Sustainability Index clearly above regular companies|2010-10-20|#tedxzh|en|0.4019|yes
27930495797|NZZ Online article on|2010-10-20|#tedxzh|en|0.0|yes
27930595633|Will someone please translate a TED speech to clingonian?|2010-10-20|#tedxzh|en|0.3182|yes
27931564154|"By introducing an ""x"", standing for openness, TED has gained impressive momentum."|2010-10-20|#tedxzh|en|0.8074|yes
27955700946|Having dinner with the crew after a great event!|2010-10-20|#tedxzh|en|0.6588|yes
10644524401434625|Da machen alle Bewerber auf ökogrün und die WM geht nach Katar - mit klimatisierten Stadien.|2010-12-03|#fb|de|0.0|yes
10644741888679936|Und wann wird St. Petersburg in Putingrad umgetauft? Noch vor der WM?|2010-12-03|#fb|de|0.0|yes
10645192809910272|Huiiiiiii ich bin von und mit dem beschenkt worden! Danke!|2010-12-03|#ff|de|0.4738|yes
10646443463278592|Meine Empfehlungen beginnen heute mit -Trommelwirbel- !!|2010-12-03|#ff|de|0.0|yes
10651851045212160|Für sarkastischen Humor empfehle ich &|2010-12-03|#ff|de|0.3818|yes
10652240444391424|Für tolle Design Artikel gibt's ne Suchmenschine:|2010-12-03|#ff|fr|0.6249|yes
10652763302133760|Irgendwie kann ich auch zum empfehlen.|2010-12-03|#ff|de|0.3612|yes
10720382680039424|Herzlichen Dank für und grbe das gerne zurück: und - weiter empfehle ich euch allen|2010-12-03|#ff|de|0.6478|yes
11672919881031680|On the train to TEDx Geneva. Rainy day like last year.|2010-12-06|#fb|en|0.296|yes
11708255172567040|is about to start! =)|2010-12-06|#tedxgeneva|en|0.5411|yes
11708904933171200|starting... on board :) TEDxGeneva|2010-12-06|#tedxgeneva|en|0.4588|yes
11712256450494464|Catching all the small fish...|2010-12-06|#tedxgeneva|en|0.0|yes
11718268570046464|Hey! Another person from here at =)|2010-12-06|#tedxgeneva|en|0.5411|yes
11718580760485888|Are you here?|2010-12-06|#tedxgeneva|en|0.0|yes
11730345447661568|Did you know is the reason why Santa wears red and white today due to a very popular advert in the 1930s?|2010-12-06|#tedxgeneva|en|0.4754|yes
11757236623777792|People need information as much as water, food, medicine or shelter by Paul Conneally|2010-12-06|#tedxgeneva|en|0.0|yes
11800716922331136|Having a great time at have met some amazing people, and heard some great talks so far!|2010-12-06|#tedxgeneva|en|0.923|yes
11815542465761280|Life is Victory by Jean Troillet|2010-12-06|#fb|en|0.0|yes
11815542465761280|Life is Victory by Jean Troillet|2010-12-06|#tedxgeneva|en|0.0|yes
